,north,east,south,west
2022-01-21 01:30:00+00:00,1.943349531869635e-10,1.943349531869635e-10,1.943349531869635e-10,1.943349531869635e-10
2022-01-21 01:35:00+00:00,1.590013253347883e-10,1.590013253347883e-10,1.590013253347883e-10,1.590013253347883e-10
2022-01-21 01:40:00+00:00,1.3009199345573588e-10,1.3009199345573588e-10,1.3009199345573588e-10,1.3009199345573588e-10
2022-01-21 01:45:00+00:00,1.0643890373651116e-10,1.0643890373651116e-10,1.0643890373651116e-10,1.0643890373651116e-10
2022-01-21 01:50:00+00:00,8.708637578441821e-11,8.708637578441821e-11,8.708637578441821e-11,8.708637578441821e-11
2022-01-21 01:55:00+00:00,7.125248927816034e-11,7.125248927816034e-11,7.125248927816034e-11,7.125248927816034e-11
2022-01-21 02:00:00+00:00,5.829749122758572e-11,5.829749122758572e-11,5.829749122758572e-11,5.829749122758572e-11
2022-01-21 02:05:00+00:00,4.769794736802467e-11,4.769794736802467e-11,4.769794736802467e-11,4.769794736802467e-11
2022-01-21 02:10:00+00:00,3.902559330111109e-11,3.902559330111109e-11,3.902559330111109e-11,3.902559330111109e-11
2022-01-21 02:15:00+00:00,3.193003088272725e-11,3.193003088272725e-11,3.193003088272725e-11,3.193003088272725e-11
2022-01-21 02:20:00+00:00,2.6124570722231385e-11,2.6124570722231385e-11,2.6124570722231385e-11,2.6124570722231385e-11
2022-01-21 02:25:00+00:00,2.1374648772734768e-11,2.1374648772734768e-11,2.1374648772734768e-11,2.1374648772734768e-11
2022-01-21 02:30:00+00:00,1.74883489958739e-11,1.74883489958739e-11,1.74883489958739e-11,1.74883489958739e-11
2022-01-21 02:35:00+00:00,1.430864917844228e-11,1.430864917844228e-11,1.430864917844228e-11,1.430864917844228e-11
2022-01-21 02:40:00+00:00,1.1707076600543682e-11,1.1707076600543682e-11,1.1707076600543682e-11,1.1707076600543682e-11
2022-01-21 02:45:00+00:00,9.578517218626648e-12,9.578517218626648e-12,9.578517218626648e-12,9.578517218626648e-12
2022-01-21 02:50:00+00:00,7.836968633421802e-12,7.836968633421802e-12,7.836968633421802e-12,7.836968633421802e-12
2022-01-21 02:55:00+00:00,6.412065245526928e-12,6.412065245526928e-12,6.412065245526928e-12,6.412065245526928e-12
2022-01-21 03:00:00+00:00,5.2462352008856674e-12,5.2462352008856674e-12,5.2462352008856674e-12,5.2462352008856674e-12
2022-01-21 03:05:00+00:00,4.2923742552700915e-12,4.2923742552700915e-12,4.2923742552700915e-12,4.2923742552700915e-12
2022-01-21 03:10:00+00:00,3.5119425724937105e-12,3.5119425724937105e-12,3.5119425724937105e-12,3.5119425724937105e-12
2022-01-21 03:15:00+00:00,2.8734075593130356e-12,2.8734075593130356e-12,2.8734075593130356e-12,2.8734075593130356e-12
2022-01-21 03:20:00+00:00,2.3509698212561195e-12,2.3509698212561195e-12,2.3509698212561195e-12,2.3509698212561195e-12
2022-01-21 03:25:00+00:00,1.923520762845916e-12,1.923520762845916e-12,1.923520762845916e-12,1.923520762845916e-12
