,external_temperature_left,external_temperature_right,temperature
2022-01-01 00:20:00+00:00,45.129230769230766,38.230769230769226,24.0
2022-01-01 00:25:00+00:00,45.1563981042654,38.21895734597157,24.0
2022-01-01 00:30:00+00:00,45.20887218045113,38.17548872180451,24.0
2022-01-01 00:35:00+00:00,45.24113647401652,38.148761534725594,24.0
2022-01-01 00:40:00+00:00,45.2615543219667,38.131847739888975,24.0
2022-01-01 00:45:00+00:00,45.24048823744198,38.12094830733922,24.0
2022-01-01 00:50:00+00:00,45.22675398535115,38.14776389487291,24.0
2022-01-01 00:55:00+00:00,45.21773168321921,38.1653795852632,24.0
2022-01-01 01:00:00+00:00,45.17818297319592,38.17700935820005,24.0
2022-01-01 01:05:00+00:00,45.15198738313544,38.184712485917,24.0
2022-01-01 01:10:00+00:00,45.10115078195396,38.18982583967348,24.0
2022-01-01 01:15:00+00:00,45.06735668045693,38.1932249889443,24.0
2022-01-01 01:20:00+00:00,45.01148606070308,38.16210261071212,24.0
2022-01-01 01:25:00+00:00,44.974286284212326,38.14138070858899,24.0
2022-01-01 01:30:00+00:00,44.91615151986456,38.12757779946601,24.0
2022-01-01 01:35:00+00:00,44.87741687364901,38.11838105105527,24.0
2022-01-01 01:40:00+00:00,44.851603486273945,38.112252190912955,24.0
2022-01-01 01:45:00+00:00,44.86773889243535,38.10816730831446,24.0
2022-01-01 01:50:00+00:00,44.878494032458605,38.10544450828786,24.0
2022-01-01 01:55:00+00:00,44.88566332712422,38.10362951046692,24.0
2022-01-01 02:00:00+00:00,44.92377781553842,38.102419601772176,24.0
2022-01-01 02:05:00+00:00,44.9491862165857,38.1016130359064,24.0
2022-01-01 02:10:00+00:00,44.966124591587594,38.10107534307508,24.0
2022-01-01 02:15:00+00:00,44.944082673099786,38.10071688907426,24.0
2022-01-01 02:20:00+00:00,44.929388276309666,38.10047792324549,24.0
2022-01-01 02:25:00+00:00,44.919592107574516,38.10031861425078,24.0
2022-01-01 02:30:00+00:00,44.87972786382051,38.10021240894665,24.0
2022-01-01 02:35:00+00:00,44.85315181681593,38.10014160571827,24.0
2022-01-01 02:40:00+00:00,44.8687679140726,38.100094403702776,24.0
2022-01-01 02:45:00+00:00,44.879178625468505,38.10006293575322,24.0
2022-01-01 02:50:00+00:00,44.91945245846678,38.06670858947576,23.96666663232856
2022-01-01 02:55:00+00:00,44.946301657416846,38.044472377712864,23.944444406291005
2022-01-01 03:00:00+00:00,44.99753446173438,38.029648245021484,23.929629597411175
2022-01-01 03:05:00+00:00,45.03168965158136,38.0197654936645,23.919753061926198
2022-01-01 03:10:00+00:00,45.02112643223811,38.013176994435675,23.913168706610985
2022-01-01 03:15:00+00:00,44.980750949348206,38.008784662361265,23.908779137145185
2022-01-01 03:20:00+00:00,44.92050062744991,38.005856441309355,23.939186094180062
2022-01-01 03:25:00+00:00,44.847000413868486,38.00390429408854,23.959457397342238
2022-01-01 03:30:00+00:00,44.7980002739428,38.002602862673385,23.97297159877136
2022-01-01 03:35:00+00:00,44.73200018085997,38.00173524175901,23.981981066088995
2022-01-01 03:40:00+00:00,44.68800011978728,38.00115682782901,23.987987377499962
2022-01-01 03:45:00+00:00,44.69200007990583,38.00077121854808,23.99199158504766
2022-01-01 03:50:00+00:00,44.6946667199584,38.000514145696684,23.961327723121645
2022-01-01 03:55:00+00:00,44.696444479981686,38.00034276379689,23.94088514863956
2022-01-01 04:00:00+00:00,44.73096298677626,38.00022850919752,23.927256765711615
2022-01-01 04:05:00+00:00,44.75397532457165,38.00015233946484,23.918171177119703
2022-01-01 04:10:00+00:00,44.769316883071824,38.00010155964315,23.912114118070303
2022-01-01 04:15:00+00:00,44.77954458872524,38.00006770642873,23.90807607870931
2022-01-01 04:20:00+00:00,44.81969639251148,38.00004513761914,23.905384052470996
2022-01-01 04:25:00+00:00,44.84646426168676,38.00003009174608,23.903589368313163
2022-01-01 04:30:00+00:00,44.8643095077967,38.00002006116406,23.902392912208402
2022-01-01 04:35:00+00:00,44.87620633853359,38.00001337410937,23.901595274805437
2022-01-01 04:40:00+00:00,44.884137559023486,38.000008916072915,23.901063516536887
2022-01-01 04:45:00+00:00,44.889425039349476,38.00000594404861,23.90070901102456
2022-01-01 04:50:00+00:00,44.92628335956858,38.033337296034446,23.90047267401636
2022-01-01 04:55:00+00:00,44.950855573046724,38.05555819735721,23.9003151160109
2022-01-01 05:00:00+00:00,44.96723704869826,38.07037213157187,23.900210077340596
2022-01-01 05:05:00+00:00,44.97815803246571,38.080248087714764,23.9001400515604
2022-01-01 05:10:00+00:00,44.95210535497682,38.086832058476595,23.90009336770693
2022-01-01 05:15:00+00:00,44.934736903317734,38.09122137231777,23.900062245137953
2022-01-01 05:20:00+00:00,44.88982460221158,38.060814248211685,23.900041496758636
2022-01-01 05:25:00+00:00,44.859883068140945,38.04054283214105,23.900027664505757
2022-01-01 05:30:00+00:00,44.806588712093834,38.02702855476067,23.900018443003837
2022-01-01 05:35:00+00:00,44.77105914139584,38.0180190365071,23.90001229533589
2022-01-01 05:40:00+00:00,44.747372760930546,38.01201269100473,23.9000081968906
2022-01-01 05:45:00+00:00,44.73158184062036,38.008008460669814,23.900005464593736
2022-01-01 05:50:00+00:00,44.754387893746916,38.00533897377987,23.90000364306249
2022-01-01 05:55:00+00:00,44.76959192916461,38.00355931585325,23.900002428708326
2022-01-01 06:00:00+00:00,44.779727952776405,38.0023728772355,23.900001619138884
2022-01-01 06:05:00+00:00,44.78648530185094,38.001581918157,23.90000107942592
